DeckType	Front	Back	Infinitief	Imperfectum	Perfectum	English
irregular-verbs	scheppen	Imperfectum: schiep, schiepen | Perfectum: geschapen | English: to create	scheppen	schiep, schiepen	geschapen	to create
irregular-verbs	scheren	Imperfectum: schoor, schoren | Perfectum: geschoren | English: to shave	scheren	schoor, schoren	geschoren	to shave
irregular-verbs	schieten	Imperfectum: schoot, schoten | Perfectum: geschoten | English: to shoot	schieten	schoot, schoten	geschoten	to shoot
irregular-verbs	schijnen	Imperfectum: scheen, schenen | Perfectum: geschenen | English: to shine, to seem	schijnen	scheen, schenen	geschenen	to shine, to seem
irregular-verbs	schrijven	Imperfectum: schreef, schreven | Perfectum: geschreven | English: to write	schrijven	schreef, schreven	geschreven	to write
irregular-verbs	schrikken	Imperfectum: schrok, schrokken | Perfectum: is geschrokken | English: to be shocked, to be scared	schrikken	schrok, schrokken	is geschrokken	to be shocked, to be scared
irregular-verbs	schuilen	Imperfectum: school, scholen / schuilde, schuilden | Perfectum: gescholen / geschuild | English: to shelter, to hide	schuilen	school, scholen / schuilde, schuilden	gescholen / geschuild	to shelter, to hide
irregular-verbs	schuiven	Imperfectum: schoof, schoven | Perfectum: geschoven | English: to push, to shove	schuiven	schoof, schoven	geschoven	to push, to shove
irregular-verbs	slaan	Imperfectum: sloeg, sloegen | Perfectum: geslagen | English: to hit	slaan	sloeg, sloegen	geslagen	to hit
irregular-verbs	slapen	Imperfectum: sliep, sliepen | Perfectum: geslapen | English: to sleep	slapen	sliep, sliepen	geslapen	to sleep
irregular-verbs	slijten	Imperfectum: sleet, sleten | Perfectum: (is) gesleten | English: to wear (out)	slijten	sleet, sleten	(is) gesleten	to wear (out)
irregular-verbs	sluipen	Imperfectum: sloop, slopen | Perfectum: (is) geslopen | English: to steal, to sneak	sluipen	sloop, slopen	(is) geslopen	to steal, to sneak
irregular-verbs	sluiten	Imperfectum: sloot, sloten | Perfectum: gesloten | English: to close	sluiten	sloot, sloten	gesloten	to close
irregular-verbs	smelten	Imperfectum: smolt, smolten | Perfectum: gesmolten | English: to melt	smelten	smolt, smolten	gesmolten	to melt
irregular-verbs	smijten	Imperfectum: smeet, smeten | Perfectum: gesmeten | English: to smash	smijten	smeet, smeten	gesmeten	to smash
irregular-verbs	snijden	Imperfectum: sneed, sneden | Perfectum: gesneden | English: to cut	snijden	sneed, sneden	gesneden	to cut
irregular-verbs	spijten	Imperfectum: speet (het), - | Perfectum: gespeten | English: to regret	spijten	speet (het), -	gespeten	to regret
irregular-verbs	spreken	Imperfectum: sprak, spraken | Perfectum: gesproken | English: to speak	spreken	sprak, spraken	gesproken	to speak
irregular-verbs	springen	Imperfectum: sprong, sprongen | Perfectum: gesprongen | English: to jump	springen	sprong, sprongen	gesprongen	to jump
irregular-verbs	spuiten	Imperfectum: spoot, spoten | Perfectum: gespoten | English: to squirt, to spray	spuiten	spoot, spoten	gespoten	to squirt, to spray
irregular-verbs	staan	Imperfectum: stond, stonden | Perfectum: gestaan | English: to stand	staan	stond, stonden	gestaan	to stand
irregular-verbs	steken	Imperfectum: stak, staken | Perfectum: gestoken | English: to stab, to sting	steken	stak, staken	gestoken	to stab, to sting
irregular-verbs	stelen	Imperfectum: stal, stalen | Perfectum: gestolen | English: to steal	stelen	stal, stalen	gestolen	to steal
irregular-verbs	sterven	Imperfectum: stierf, stierven | Perfectum: is gestorven | English: to die	sterven	stierf, stierven	is gestorven	to die
irregular-verbs	stijgen	Imperfectum: steeg, stegen | Perfectum: is gestegen | English: to rise, to climb	stijgen	steeg, stegen	is gestegen	to rise, to climb
irregular-verbs	stinken	Imperfectum: stonk, stonken | Perfectum: gestonken | English: to stink	stinken	stonk, stonken	gestonken	to stink
irregular-verbs	strijden	Imperfectum: streed, streden | Perfectum: gestreden | English: to fight	strijden	streed, streden	gestreden	to fight
irregular-verbs	strijken	Imperfectum: streek, streken | Perfectum: gestreken | English: to iron	strijken	streek, streken	gestreken	to iron
irregular-verbs	treden	Imperfectum: trad, traden | Perfectum: is getreden | English: to step	treden	trad, traden	is getreden	to step
irregular-verbs	treffen	Imperfectum: trof, troffen | Perfectum: getroffen | English: to hit	treffen	trof, troffen	getroffen	to hit
irregular-verbs	trekken	Imperfectum: trok, trokken | Perfectum: (is) getrokken | English: to pull	trekken	trok, trokken	(is) getrokken	to pull
irregular-verbs	vallen	Imperfectum: viel, vielen | Perfectum: is gevallen | English: to fall	vallen	viel, vielen	is gevallen	to fall
irregular-verbs	vangen	Imperfectum: ving, vingen | Perfectum: gevangen | English: to catch	vangen	ving, vingen	gevangen	to catch
irregular-verbs	varen	Imperfectum: voer, voeren | Perfectum: (is) gevaren | English: to sail	varen	voer, voeren	(is) gevaren	to sail
irregular-verbs	vechten	Imperfectum: vocht, vochten | Perfectum: gevochten | English: to fight	vechten	vocht, vochten	gevochten	to fight
